Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OER,DER,PosPG,TotPos
194,Nebraska,32,16,16,0.5,7.39,9.29,9,11,11,4,4,9,2175,2236,1300,819,1790,0.458,214,657,0.326,323,504,0.641,264,1105,418,177,79,406,452,101.9403825,104.7994001,66.675,2133.6
195,Nevada NCAA,32,22,10,0.688,11.32,6.81,12,6,14,1,6,7,2324,2140,1305,774,1742,0.444,227,657,0.346,549,694,0.791,240,1076,455,194,100,328,574,110.267603,101.5372936,65.8625,2107.6
196,Nevada-Las Vegas,32,19,13,0.594,7.83,5.8,7,11,10,7,5,6,2376,2241,1305,819,1895,0.432,262,751,0.349,476,658,0.723,335,1081,411,291,122,394,547,107.1621865,101.0734259,69.2875,2217.2
197,New Hampshire,30,15,15,0.5,-9.11,-5.76,9,7,11,4,4,11,1992,2011,1210,696,1749,0.398,248,725,0.342,352,508,0.693,307,1071,350,161,76,297,452,102.5641026,103.5423746,64.74,1942.2
198,New Mexico,33,22,11,0.667,11.9,5.68,8,10,15,4,5,6,2680,2442,1335,955,1974,0.484,189,531,0.356,581,781,0.744,323,1222,452,221,129,373,562,114.7063859,104.519774,70.8,2336.4
199,New Mexico State,24,9,15,0.375,-1.3,2.7,2,10,6,4,1,9,1769,1720,960,631,1426,0.442,181,534,0.339,326,479,0.681,246,852,291,176,55,305,453,105.5111535,102.5885721,69.85833333,1676.6
200,New Orleans,32,12,20,0.375,-13.87,-7,7,11,6,9,4,10,2340,2536,1286,833,1785,0.467,196,519,0.378,478,674,0.709,309,1032,466,215,70,547,619,102.0675216,110.616767,71.64375,2292.6
201,Niagara,31,16,15,0.516,-6.69,-4.49,10,10,9,4,4,10,2016,2044,1250,736,1642,0.448,196,570,0.344,348,481,0.723,250,944,339,165,71,365,499,103.4164358,104.8527752,62.88387097,1949.4
202,Nicholls State,31,16,15,0.516,-8.11,-5.03,11,7,11,3,4,11,2344,2253,1240,882,1935,0.456,238,698,0.341,342,530,0.645,357,1075,431,302,93,420,639,106.0633484,101.9457014,71.29032258,2210
203,NJIT,30,7,23,0.233,-12.67,-5.71,4,12,5,8,2,15,2008,2182,1220,744,1734,0.429,196,562,0.349,324,488,0.664,261,1022,336,160,85,334,471,100.2896814,108.9801219,66.74,2002.2
